ID,dados_hist_ONS_19312018,sub,id_prevs_2018,bacia_name,PREVS_ONS_OUT,,prod,mais_running,posto_id,sar_ana_posto_id,sar_ana_posto_id_bkp,usina_id_vazao_natural_history,mais_calculated,,,,,bacia_name_ena,ID_vazao_Previvaz_2018_ALEX,Previvaz_ID,nome_Previvaz_2018_ALEX,volume_name_history,reservatorio_amontante,postos_amontante,,,id_prevs_2018,bacia_name_gab,ree,,,usina_name,usina_name_historical,usina_name_bdo,,,lat,lon,"lat,lon – quantum",Nome – quantum,Nome – Rio – quantum,Incremental,artificial,calculated,soma incre,ID,NOME,NOME ABREVIADO,RESERVATORIO,RIO,BACIA,SUBSISTEMA,REE,CIDADE,SITUAÇÃO,TIPO DE SÉRIE,ALGORITMO,calculado,expension,FÓRMULA,USA CHUVA-VAZÃO?,PRODUTIBILIDADE,
1,CAMARGOS (1),SE,CAMARGOS,grande,1,,0.1971,1,1,19001,19001,1,,,,,,grande,1,1,CAMARGOS,camargos,,,,,1,Grande,10,,,camargos,camargos,CAMARGOS,,,-21.32555556,-44.61666667,"-21.32555556,-44.61666667",UHE Camargos,UHE Camargos (Rio Grande),0,0,0,,1,Camargos,CAMARGOS,CAMARGOS,Grande,Grande,SE,Parana,Itutinga-MG,Operação,Natural,Vazão obs.,,,,S,0.1971,
2,ITUTINGA (2),SE,ITUTINGA,grande,2,,0.2447,2,2,19002,19002,2,,,,,,grande,2,2,ITUTINGA,,1,1,,,2,Grande,10,,,itutinga,itutinga,ITUTINGA,,,-21.29277778,-44.62277778,"-21.29277778,-44.62277778",UHE Itutinga,UHE Itutinga (Rio Grande),0,0,0,,2,Itutinga,ITUTINGA,ITUTINGA,Grande,Grande,SE,Parana,Itutinga-MG,Operação,Natural,Regredido,,,,,0.2447,
6,FURNAS (6),SE,FURNAS,grande,6,,0.7726,6,6,19004,19004,6,,,,,,grande,6,6,FURNAS,furnas,123,123,,,6,Grande,10,,,furnas,furnas,FURNAS,,,-20.66944444,-46.31388889,"-20.66944444,-46.31388889",UHE Furnas,UHE Furnas (Rio Grande),0,0,0,,6,Furnas,FURNAS,FURNAS,Grande,Grande,SE,Parana,SaoJosedaBarra-MG,Operação,Natural,Vazão obs.,,,,S,0.7726,
7,M. DE MORAES (7),SE,MASC. DE MORAES,grande,7,,0.3337,7,7,19005,19005,7,,,,,,grande,7,7,MASC. DE MORAES,m. moraes,6,6,,,7,Grande,10,,,masc. de moraes,m. moraes,M. MORAES,,,-20.287159,-47.065781,,,,0,0,0,,7,Mascarenhas de Moraes (Peixoto),M. DE MORAES,M. MORAES,Grande,Grande,SE,Parana,Ibiraci-MG,Operação,Natural,Regredido,,,,,0.3337,
8,ESTREITO (8),SE,ESTREITO,grande,8,,0.5627,8,8,19006,19006,8,,,,,,grande,8,8,ESTREITO,,7,7,,,8,Grande,10,,,estreito,estreito,ESTREITO,,,-20.15361111,-47.27777778,"-20.15361111,-47.27777778",UHE Estreito,UHE Estreito (Rio Grande),0,0,0,,8,Luís Carlos Barreto de Carvalho (Estreito),ESTREITO,L. C. BARRETO,Grande,Grande,SE,Parana,Pedregulho-SP,Operação,Natural,Regredido,,,,,0.5627,
9,JAGUARA (9),SE,JAGUARA,grande,9,,0.4043,9,9,19007,19007,9,,,,,,grande,9,9,JAGUARA,,7,8,,,9,Grande,10,,,jaguara,jaguara,JAGUARA,,,-20.02500000,-47.43555556,"-20.02500000,-47.43555556",UHE Jaguara,UHE Jaguara (Rio Grande),0,0,0,,9,Jaguara,JAGUARA,JAGUARA,Grande,Grande,SE,Parana,Rifaina-SP,Operação,Natural,Regredido,,,,,0.4043,
10,IGARAPAVA (10),SE,IGARAPAVA,grande,10,,0.1525,10,10,19008,19008,10,,,,,,grande,10,10,IGARAPAVA,,7,9,,,10,Grande,10,,,igarapava,igarapava,IGARAPAVA,,,-19.99027778,-47.75416667,"-19.99027778,-47.75416667",UHE Igarapava,UHE Igarapava (Rio Grande),0,0,0,,10,Igarapava,IGARAPAVA,IGARAPAVA,Grande,Grande,SE,Parana,Igarapava-SP,Operação,Natural,Regredido,,,,,0.1525,
11,VOLTA GRANDE (11),SE,VOLTA GRANDE,grande,11,,0.2472,11,11,19009,19009,11,,,,,,grande,11,11,VOLTA GRANDE,,7,10,,,11,Grande,10,,,volta grande,volta grande,VOLTA GRANDE,,,-20.03277778,-48.21722222,"-20.03277778,-48.21722222",UHE Volta Grande,UHE Volta Grande (Rio Grande),0,0,0,,11,Volta Grande,VOLTA GRANDE,VOLTA GRANDE,Grande,Grande,SE,Parana,Miguelopolis-SP,Operação,Natural,Regredido,,,,,0.2472,
12,P. COLOMBIA (12),SE,P COLOMBIA,grande,12,,0.2038,12,12,19010,19010,12,,,,,,grande,12,12,P COLOMBIA,,7,11,,,12,Grande,10,,,p colombia,p. colombia,P. COLOMBIA,,,-20.12694444,-48.56583333,"-20.12694444,-48.56583333",UHE Porto Colômbia,UHE Porto Colômbia (Rio Grande),0,0,0,,12,Porto Colômbia,P. COLOMBIA,P. COLOMBIA,Grande,Grande,SE,Parana,Planura-MG,Operação,Natural,Regredido,,,,,0.2038,
14,CACONDE (14),SE,CACONDE,grande,14,,0.8146,14,14,19011,19011,14,,,,,,grande,14,14,CACONDE,caconde,,,,,14,Grande,10,,,caconde,caconde,CACONDE,,,-21.575125,-46.623605,,,,0,0,0,,14,Caconde,CACONDE,CACONDE,Pardo,Grande,SE,Parana,Caconde-SP,Operação,Natural,Vazão obs.,,,,S,0.8146,
